term1,key,term2,term1_count,term2_count,pair_count,value
Flood ,aschn,China,833,3699,81,81
Flood ,asind,India,833,2441,54,54
Flood ,nausa,United States,833,3267,73,73
Flood ,asvnm,Vietnam,833,599,16,16
Flood ,astha,Thailand,833,393,14,14
Flood ,sabra,Brazil,833,1074,26,26
